year,carrier,origin,dest,passengers
2024,XP,HVN,MCO,5661.0
2024,XP,HVN,FLL,4364.0
2024,XP,HVN,RDU,3745.0
2024,XP,HVN,TPA,2794.0
2024,XP,HVN,ATL,2615.0
2024,XP,HVN,RSW,2500.0
2024,XP,HVN,PBI,2360.0
2024,XP,HVN,MYR,2348.0
2024,XP,HVN,ILM,2214.0
2024,XP,HVN,BNA,2152.0
2024,XP,HVN,GSP,1865.0
2024,XP,HVN,CHS,1825.0
2024,XP,HVN,SJU,1528.0
2024,XP,HVN,USA,1451.0
2024,XP,HVN,SRQ,1304.0
2024,XP,HVN,DAB,1195.0
2024,XP,HVN,SAV,1134.0
2024,XP,HVN,BWI,1124.0
2024,XP,HVN,TYS,848.0
2024,XP,HVN,VPS,550.0
2024,XP,HVN,MDW,370.0
2024,XP,HVN,IAD,101.0
2024,XP,HVN,BED,0.0
2024,XP,HVN,ROA,0.0
2024,XP,HVN,SYR,0.0
2025,XP,HVN,MCO,6109.0
2025,XP,HVN,FLL,3844.0
2025,XP,HVN,TPA,2994.0
2025,MX,HVN,MCO,2680.0
2025,XP,HVN,MYR,2647.0
2025,XP,HVN,ATL,2586.0
2025,XP,HVN,ILM,2508.0
2025,XP,HVN,RDU,2379.0
2025,XP,HVN,BNA,2334.0
2025,XP,HVN,USA,2315.0
2025,XP,HVN,PBI,2302.0
2025,XP,HVN,RSW,2132.0
2025,XP,HVN,CHS,1892.0
2025,XP,HVN,SRQ,1688.0
2025,XP,HVN,LAL,1646.0
2025,XP,HVN,DAB,1577.0
2025,XP,HVN,SJU,1382.0
2025,XP,HVN,VPS,1173.0
2025,XP,HVN,HOU,1097.0
2025,XP,HVN,GSP,1071.0
2025,XP,HVN,SAV,1059.0
2025,XP,HVN,DFW,1046.0
2025,XP,HVN,IAD,960.0
2025,XP,HVN,TYS,950.0
2025,XP,HVN,JAX,939.0
2025,XP,HVN,BWI,928.0
2025,XP,HVN,DTW,914.0
2025,MX,HVN,RDU,815.0
2025,MX,HVN,CHS,783.0
2025,XP,HVN,ORD,758.0
2025,MX,HVN,ORF,753.0
2025,MX,HVN,RIC,535.0
2025,MX,HVN,PBI,524.0
2025,MX,HVN,JAX,510.0
2025,MX,HVN,VRB,462.0
2025,MX,HVN,RSW,375.0
2025,XP,HVN,PWM,94.0
2025,XP,HVN,MSY,14.0
2025,XP,HVN,BED,0.0
