rank,dest,total_passengers,avg_share,appearances
1,MCO,47042.0,0.06742857602239438,4
2,FLL,27392.0,0.058884960866280193,4
3,PBI,24635.0,0.03573548704418385,4
4,RSW,22698.0,0.0330719186035716,4
5,RDU,21833.0,0.040588753716913395,4
6,TPA,19841.0,0.04221075255535075,4
7,MYR,13979.0,0.030586188488801177,4
8,SRQ,13343.0,0.028964607914021116,4
9,ATL,12838.0,0.0330988651209052,4
10,USA,11290.0,0.029968995452562448,4
11,ILM,10985.0,0.023437707507168264,4
12,SJU,9698.0,0.020761679108353095,4
13,BNA,8042.0,0.019870471929924086,4
14,DAB,7878.0,0.016932330970862188,4
15,CHS,7290.0,0.012488218556873595,4
16,GSP,6862.0,0.014880088675049,4
17,LAL,5049.0,0.01674638363926883,4
18,BWI,4485.0,0.009699107690436784,4
19,IAD,4215.0,0.01147569881122218,4
20,SAV,4184.0,0.010570070775006091,4
21,TYS,4008.0,0.010461872695224497,4
22,HOU,3927.0,0.01319405766216368,4
23,MDW,3463.0,0.010161501415955355,4
24,MSY,1810.0,0.008440668941319078,3
25,VRB,1578.0,0.00659512702084594,3
26,STL,1541.0,0.008138081341765723,3
27,VPS,3064.0,0.013076224364109308,2
28,ORD,758.0,0.003685945751436935,2
29,JAX,1449.0,0.007046088910068759,1
30,DFW,1046.0,0.010172821255944682,1
31,DTW,914.0,0.008889061785787227,1
32,ORF,753.0,0.007323264250216391,1
33,TVC,547.0,0.009166317553414328,1
34,RIC,535.0,0.0052031160343502915,1
35,MLB,224.0,0.0027663542168377114,1
36,CKB,115.0,0.0017441684108350775,1
37,PWM,94.0,0.0009141923499606119,1
38,BDL,0.0,0.0,1
39,BED,0.0,0.0,1
40,CMH,0.0,0.0,1
41,HPN,0.0,0.0,1
42,ILG,0.0,0.0,1
43,PIT,0.0,0.0,1
44,PSM,0.0,0.0,1
45,PVD,0.0,0.0,1
46,ROA,0.0,0.0,1
47,SYR,0.0,0.0,1
