Flights,dest,total_passengers,appearances,city,state,,Student Origins,State,2024,percent_2024,,,,,,,,,,,,,,,,,
,MCO,47042,4,Orlando,Florida,,,New York,218,14.0,,,,,,,,,,,,,,,,,
,FLL,27392,4,Fort Lauderdale,Florida,,,California,215,13.8,,,,,,,,,,,,,,,,,
,PBI,24635,4,West Palm Beach,Florida,,,International,200,12.9,,,,,,,,,,,,,,,,,
,RSW,22698,4,Fort Myers,Florida,,,Texas,108,6.9,,,,,,,,,,,,,,,,,
,RDU,21833,4,Raleigh/Durham,North Carolina,,,Connecticut,101,6.5,,,,,,,,,,,,,,,,,
,TPA,19841,4,Tampa,Florida,,,Massachusetts,66,4.2,,,,,,,,,,,,,,,,,
,MYR,13979,4,Myrtle Beach,South Carolina,,,Pennsylvania,51,3.3,,,,,,,,,,,,,,,,,
,SRQ,13343,4,Sarasota,Florida,,,New Jersey,49,3.2,,,,,,,,,,,,,,,,,
,ATL,12838,4,Atlanta,Georgia,,,Illinois,47,3.0,,,,,,,,,,,,,,,,,
,USA,11290,4,Concord/Charlotte,North Carolina,,,Florida,47,3.0,,,,,,,,,,,,,,,,,
,ILM,10985,4,Wilmington,North Carolina,,,Maryland,40,2.6,,,,,,,,,,,,,,,,,
,SJU,9698,4,San Juan,Puerto Rico,,,Virginia,37,2.4,,,,,,,,,,,,,,,,,
,BNA,8042,4,Nashville,Tennessee,,,Ohio,30,1.9,,,,,,,,,,,,,,,,,
,DAB,7878,4,Daytona Beach,Florida,,,Georgia,27,1.7,,,,,,,,,,,,,,,,,
,CHS,7290,4,Charleston,South Carolina,,,North Carolina,25,1.6,,,,,,,,,,,,,,,,,
,GSP,6862,4,Greenville/Spartanburg,South Carolina,,,Colorado,20,1.3,,,,,,,,,,,,,,,,,
,LAL,5049,4,Lakeland,Florida,,,Michigan,19,1.2,,,,,,,,,,,,,,,,,
,BWI,4485,4,Baltimore,Maryland,,,Arizona,19,1.2,,,,,,,,,,,,,,,,,
,IAD,4215,4,Washington Dulles,Virginia,,,Tennessee,17,1.1,,,,,,,,,,,,,,,,,
,SAV,4184,4,Savannah,Georgia,,,Wisconsin,17,1.1,,,,,,,,,,,,,,,,,
,TYS,4008,4,Knoxville,Tennessee,,,Minnesota,16,1.0,,,,,,,,,,,,,,,,,
,HOU,3927,4,Houston Hobby,Texas,,,Washington,15,1.0,,,,,,,,,,,,,,,,,
,MDW,3463,4,Chicago Midway,Illinois,,,Hawaii,10,0.6,,,,,,,,,,,,,,,,,
,MSY,1810,3,New Orleans,Louisiana,,,Indiana,10,0.6,,,,,,,,,,,,,,,,,
,VRB,1578,3,Vero Beach,Florida,,,Oregon,9,0.6,,,,,,,,,,,,,,,,,
,STL,1541,3,St. Louis,Missouri,,,Alabama,9,0.6,,,,,,,,,,,,,,,,,
,VPS,3064,2,Destin/Fort Walton Beach,Florida,,,New Hampshire,9,0.6,,,,,,,,,,,,,,,,,
,ORD,758,2,Chicago O'Hare,Illinois,,,Missouri,8,0.5,,,,,,,,,,,,,,,,,
,JAX,1449,1,Jacksonville,Florida,,,District of Columbia,8,0.5,,,,,,,,,,,,,,,,,
,DFW,1046,1,Dallas/Fort Worth,Texas,,,Louisiana,8,0.5,,,,,,,,,,,,,,,,,
,DTW,914,1,Detroit,Michigan,,,Nevada,7,0.5,,,,,,,,,,,,,,,,,
,ORF,753,1,Norfolk,Virginia,,,South Carolina,7,0.5,,,,,,,,,,,,,,,,,
,TVC,547,1,Traverse City,Michigan,,,Mississippi,7,0.5,,,,,,,,,,,,,,,,,
,RIC,535,1,Richmond,Virginia,,,Oklahoma,7,0.5,,,,,,,,,,,,,,,,,
,MLB,224,1,Melbourne,Florida,,,Delaware,7,0.5,,,,,,,,,,,,,,,,,
,CKB,115,1,Clarksburg,West Virginia,,,Kansas,6,0.4,,,,,,,,,,,,,,,,,
,PWM,94,1,Portland,Maine,discontinued,,Rhode Island,6,0.4,,,,,,,,,,,,,,,,,
,BDL,0,1,Hartford,Connecticut,DNE,,Maine,6,0.4,,,,,,,,,,,,,,,,,
,BED,0,1,Bedford,Massachusetts,DNE,,Vermont,6,0.4,,,,,,,,,,,,,,,,,
,CMH,0,1,Columbus,Ohio,DNE,,Montana,6,0.4,,,,,,,,,,,,,,,,,
,HPN,0,1,White Plains,New York,DNE,,Idaho,5,0.3,,,,,,,,,,,,,,,,,
,ILG,0,1,Wilmington,Delaware,DNE,,Utah,5,0.3,,,,,,,,,,,,,,,,,
,PIT,0,1,Pittsburgh,Pennsylvania,DNE,,West Virginia,4,0.3,,,,,,,,,,,,,,,,,
,PSM,0,1,Portsmouth,New Hampshire,DNE,,Kentucky,4,0.3,,,,,,,,,,,,,,,,,
,PVD,0,1,Providence,Rhode Island,DNE,,New Mexico,3,0.2,,,,,,,,,,,,,,,,,
,ROA,0,1,Roanoke,Virginia,DNE,,Iowa,2,0.1,,,,,,,,,,,,,,,,,
,SYR,0,1,Syracuse,New York,DNE,,Alaska,2,0.1,,,,,,,,,,,,,,,,,
,,,,,,,,Arkansas,2,0.1,,,,,,,,,,,,,,,,,
,No direct fliights currently,,,,,,,North Dakota,2,0.1,,,,,,,,,,,,,,,,,
,,,,,,,,Nebraska,2,0.1,,,,,,,,,,,,,,,,,
,,,,,,,,Wyoming,2,0.1,,,,,,,,,,,,,,,,,
,,,,,,,,South Dakota,1,0.1,,,,,,,,,,,,,,,,,
